4.81,a
2.91,abajo
1.3,abeja
2.04,abierta
1,abiertas
2.38,abierto
1,abordaje
1,abra
1,abramos
1.7,abras
1,abrazando
1.3,abrazo
1,abrazó
3.22,abre
1,ábre
1,ábrela
1,ábrele
1,ábreles
1.7,ábrelo
1.6,ábreme
2.2,abren
2.15,abres
1,abrete
1.48,ábrete
1.9,abría
1.48,abrían
1,abrid
1.48,abrida
2.15,abrido
1.6,abriendo
1,abrigados
1.85,abrigo
1,abrigos
1,abril
2.18,abrimos
1.48,abrió
2.95,abrir
1,abrirá
1.3,abrirla
1,abrirle
1.48,abrirlo
1,abrirlos
1.48,abrirme
1,abriros
1,abrís
2.51,abro
2.43,abuela
1,abuelica
1.3,abuelico
2.48,abuelita
2.08,abuelito
2.53,abuelo
1.48,abuelos
1,abulta
1.6,aburrida
1.3,aburrido
1.48,aburro
1.85,acá
2.11,acaba
1,acababa
1,acabada
1,acabadito
2.92,acabado
1,acaban
1.3,acabando
1.3,acabará
1.3,acabe
1.7,acabo
2.85,acabó
1.6,acaso
1.48,accidente
1.48,aceite
1.3,acera
1.3,acerca
1,acércame
1,acercando
1.3,acercar
1,acercaros
1.78,acercas
1,acércate
1.3,acerco
1,acerque
1,acompaña
1,acompañaba
1,acompaño
1.3,acordaba
1.3,acordabas
1,acordamos
1,acordaron
1.3,acordé
1,acordeón
1.3,acostado
1.48,acostamos
1,acostando
1.6,acostar
1,acostarlo
1,acuarelas
2.15,acuerdas
1,acuérdate
2.49,acuerdo
1.3,acuesta
1,acuestes
2.32,adelante
1.85,además
2.62,adentro
2.92,adiós
1,adivinas
1.48,adorno
1,Adriana
2.2,afuera
1,agachada
1,agacho
2.11,agarra
1,agarraba
1,agarraban
1.3,agarrado
1,agarramos
1,agarrando
1,agarrándole
2.26,agarrar
1,agarraré
1,agarrarte
1.3,agarras
1.78,agárrate
1,agarre
1.7,agarro
3.6,agua
1,aguante
1,Aguapolis
1,agüica
1,águila
1.48,agüita
1,agujerico
1.48,agujerito
2.28,agujero
1.78,agujeros
1.3,Agustín
3.73,ah
4.04,ahí
1.78,ahoga
1.3,ahogaban
1,ahogado
1.9,ahogan
1.3,ahogando
1.7,ahogar
1,ahogen
1.3,ahogo
1,ahogue
1.3,ahoguen
4.35,ahora
1.3,Ainara
2.4,Ainhoa
1.95,aire
1,aires
1.3,Aitana
1,Aitona
1.3,Aitor
1.3,Aivón
4.05,al
1,Ala
3.15,ála
1,Alalar
1.6,Alaluf
1,alarma
2.11,alas
1.3,Alberto
1,Albi
1.3,albóndigas
1.78,alcohol
2.15,ále
1,alegre
1,alegres
1,alejando
1.78,Alejandro
1,aletas
2.36,Alex
2,alfombra
1,alforjas
2.58,algo
1,algodón
2.51,alguien
1.78,algún
1.6,alguna
1,algunas
2.3,alguno
2.04,algunos
1,Alicia
1,Alis
2.88,allá
2.7,allí
1.48,almohada
1,almuercito
1,almuerzo
1.3,alrededor
1.3,Alsasu
1.78,alta
1,altas
1,altísimo
2.48,alto
1.6,alubias
1,alumnos
1,Álvaro
1.6,am
2.88,ama
2.2,amarilla
1.48,amarillas
2.61,amarillo
1.3,amarillos
1,amartillará
2.62,Amaya
1.9,ambulancia
1.3,ambulancias
2.04,amiga
1.7,amigas
2.48,amigo
2.57,amigos
1,amiguicos
1.78,amiguita
1.3,amiguito
1.78,amiguitos
1,amor
1,Amparico
2.53,Ana
1,Ana
1,Anabel
1,anchoas
2.32,ancla
1.3,ancle
2.18,anda
1.48,andá
1.6,ánda
1.3,andaba
1,andaban
1,andado
1,andamos
1.48,andan
2.3,andando
2.48,andar
1,andaríno
1,andas
1.48,ande
2.52,Ander
1.3,ando
1.85,Andoni
2.67,Andrea
1,Ane
2.58,ángel
1,Ángela
1.48,ángeles
1.48,angelico
1,Angelines
2.23,angelito
1,anillo
2,animal
3.21,animales
1.48,animalicos
1.95,animalitos
1,Anita
1.6,año
1.3,anoche
2.2,años
1,Ánquel
1,antena
2.53,antes
1,Antolo
1,Anuka
1,Anuska
1.3,apaga
1.48,apagada
1,apagado
1.3,apagan
1,apagar
1,apagaron
1.3,apago
1.3,aparca
1,aparcábamos
1,aparcaban
1,aparcada
2,aparcado
1,aparcalo
1,aparcamientos
1.6,aparcamos
1.7,aparcan
1,aparcando
2.36,aparcar
1,aparcaríamos
1.6,aparcarlo
1,aparco
1,aparecen
1,aparecido
1,apareciendo
1.48,apareció
1,aparezca
1,aparta
1.3,apartar
1,aparte
1,apetece
1.48,aplasta
1.3,aplastado
1,aplastar
1,apone
1,apoyamos
1,apoyar
1,aprende
1,aprenden
1.3,aprender
1,aprendido
1,aprendiendo
1,apretado
1.3,apretar
1.78,aprieta
1.6,aprietas
1,apriete
1.78,aprieto
1,aprovechamos
1.48,apunta
1,apuntar
1,apunte
2.18,apunten
2,apuntes
1.48,aquel
1.6,aquél
1,aquella
1.48,aquélla
1.3,aquéllos
4.75,aquí
1,Araceli
1.3,araña
1,arañar
1,arar
3.03,árbol
2.43,árboles
1.78,arbolito
1.7,arca
2.45,ardilla
1.48,ardillita
1.85,arena
1,Aristegui
1.95,Aritz
1.3,arma
1.48,armario
1,armas
1.3,aro
1,arpón
2.04,arranca
1,arrancado
1.3,arrancamos
1.3,arrancando
1.48,arranco
1,arranques
1.48,arregla
1.48,arreglado
1,arreglados
1.3,arreglando
1,arreglar
1,arreglaron
1,arregle
1,arriar
3.19,arriba
1,arrocito
1.3,arropamos
1,arropar
2.43,arroz
1,arrugado
1,arrugan
1.3,asa
1,Asca
1.3,ascensor
2.11,asco
1,ase
4.22,así
2.3,asiento
1.7,asientos
2.94,Asier
1.95,asoma
1,asomaban
1.3,asomado
1,asomados
1,asoman
1,asomando
1,asomar
1,asomarme
1,asómate
1.3,aspirina
1.3,Asterix
1.85,asusta
1.48,asustaba
1.7,asustado
1,asustan
1,asustando
1.3,asuste
1,asustes
1.3,asusto
1.3,asustó
1,ata
1,ataca
1,atacan
1,atacando
1.3,atacar
1.48,atado
1.6,ataque
1.6,atar
1,atarla
1,atascada
1,atasco
1,atascó
1,atemos
1,aterrizó
1.3,Atita
1,ato
1,atornillado
1,atracar
1,atrapado
1,atrapados
1,atrapo
2.53,atrás
1,atropella
1,atropellar
1,atropelló
1,atún
2.08,au
1.3,Audrey
1,aula
2.34,aún
1.9,aunque
1,aupa
1,aupando
1.3,aupas
1.78,autobús
1,auxilio
1.3,avaricia
1.7,avión
1.3,avisa
1,avisado
1.3,avisan
1,avisar
3.55,ay
2.15,ayer
1.78,ayuda
1,ayudaba
1.3,ayudado
1,ayúdale
1,ayudame
1.48,ayúdame
1,ayudan
1,ayudando
1.48,ayudar
1.3,ayudarle
1,ayudarles
2.15,ayudas
1.3,ayude
2.08,ayudo
1,Azca
1.7,azúcar
1,Azul
2.66,azul
1.6,azules
1,babero
1,babor
1,baila
1,bailando
1,bailar
2.86,baja
2,bajaba
1,bajábamos
1.3,bajaban
1,bajada
1.95,bajado
2.11,bajamos
2.2,bajan
1.95,bajando
1,bajándose
2.87,bajar
1,bajarán
1,bajarles
1.3,bajaron
1.3,bajarse
1,bajarte
1.3,bajas
1,bájate
1.3,baje
1,bajen
1.48,bajera
1,bajito
2.04,bajo
1.85,bajó
1,bajón
1.3,bajos
2.26,bala
1,balanceo
1.85,balancín
1.48,balas
1.85,balcón
1.3,ballena
1.3,ballenas
3.36,balón
1,balonazo
2,baloncesto
1.95,balones
1,Baltasar
1.85,Bambi
1,bañado
1,báñale
1,bañan
2.04,bañar
1.78,banco
1,bandeja
2.65,bandera
1,banderas
1.3,banderilla
1,banderita
1,bañen
1.7,bañera
2,baño
1,baños
1.48,banqueta
1,banquetas
1,banquetita
1.6,barba
1,barbacoa
1,barbas
1.48,Barbie
1,barbilla
3.08,barca
1,barcas
3.75,barco
2.15,barcos
1.3,barquico
1.3,barquillo
2.04,barquita
2.26,barquito
1,barra
1.3,barraca
1.95,barracas
1,barras
1.3,barriga
1,barriguitas
1.48,barro
1.48,basta
1,bastante
1.6,bastón
1.48,basura
1.3,bata
1,baúl
1.3,Bea
1.6,Beatriz
1.6,bebe
2.38,bebé
1,bébela
2,beber
1,bebido
1.7,bebiendo
1,bebiese
1,bebo
1.3,Belén
1,bello
2,Beñat
1.3,Benicasim
1.48,Benidorm
1.48,Benito
1,besicos
1.3,besito
1,besitos
2.59,beso
1.3,besó
1.3,besos
1,bestia
1,bestias
1.48,biberón
1.9,bicho
1.6,bichos
1.85,bicicleta
3.34,bien
1,bigote
1.7,bigotes
1,biscote
1,biscotes
2,bizcocho
1.3,Blanca
2,blanca
1.95,Blancanieves
1.3,blancas
2.45,blanco
1.3,blancos
1,blando
1,blanquico
1.3,Blas
